code commune insee,nom de_la_commune,first_postal,libelle_d_acheminement,ligne_5,_geopoint
49002,allonnes,49650,ALLONNES,,"47.3069328,0.00810265"
49007,angers,49000,ANGERS,,"47.48189605,-0.5629347499999999"
49007,angers,49100,ANGERS,,"47.48189605,-0.5629347499999999"
49008,angrie,49440,ANGRIE,,"47.5819468,-0.96774985"
49009,antoigne,49260,ANTOIGNE,,"47.07927545,-0.1382129"
49010,armaille,49420,ARMAILLE,,"47.713490050000004,-1.14250375"
49011,artannes sur thouet,49260,ARTANNES SUR THOUET,,"47.204157,-0.09776009999999999"
49003,tuffalun,49700,TUFFALUN,AMBILLOU CHATEAU,"47.27049705,-0.32219575"
49003,tuffalun,49700,TUFFALUN,LOUERRE,"47.27049705,-0.32219575"
49003,tuffalun,49700,TUFFALUN,NOYANT LA PLAINE,"47.27049705,-0.32219575"
