"code commune insee","nom de_la_commune","first_postal","libelle_d_acheminement","ligne_5","_geopoint"
"49002","ALLONNES","49650","ALLONNES",,"47.3069328,0.00810265"
"49003","TUFFALUN","49700","TUFFALUN","AMBILLOU CHATEAU","47.27049705,-0.32219575"
"49003","TUFFALUN","49700","TUFFALUN","LOUERRE","47.27049705,-0.32219575"
"49003","TUFFALUN","49700","TUFFALUN","NOYANT LA PLAINE","47.27049705,-0.32219575"
"49007","ANGERS","49000","ANGERS",,"47.48189605,-0.5629347499999999"
"49007","ANGERS","49100","ANGERS",,"47.48189605,-0.5629347499999999"
"49008","ANGRIE","49440","ANGRIE",,"47.5819468,-0.96774985"
"49009","ANTOIGNE","49260","ANTOIGNE",,"47.07927545,-0.1382129"
"49010","ARMAILLE","49420","ARMAILLE",,"47.713490050000004,-1.14250375"
"49011","ARTANNES SUR THOUET","49260","ARTANNES SUR THOUET",,"47.204157,-0.09776009999999999"
"49012","AUBIGNE SUR LAYON","49540","AUBIGNE SUR LAYON",,"47.21268565,-0.47447385"
"49015","AVRILLE","49240","AVRILLE",,"47.502706599999996,-0.60114205"
"49017","BARACE","49430","BARACE",,"47.6415626,-0.3563232"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","BAUGE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","BOCE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","CHARTRENE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","CHEVIRE LE ROUGE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","CLEFS","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","CUON","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","ECHEMIRE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","FOUGERE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","LE GUEDENIAU","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","LE VIEIL BAUGE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","MONTPOLLIN","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","PONTIGNE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","ST MARTIN D ARCE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","ST QUENTIN LES BEAUREPAIRE","47.55978775,-0.11425895"
"49018","BAUGE EN ANJOU","49150","BAUGE EN ANJOU","VAULANDRY","47.55978775,-0.11425895"
"49020","BEAUCOUZE","49070","BEAUCOUZE",,"47.4741726,-0.63578325"
"49021","BEAUFORT EN ANJOU","49250","BEAUFORT EN ANJOU","BEAUFORT EN VALLEE","47.437367449999996,-0.20629125"
"49021","BEAUFORT EN ANJOU","49250","BEAUFORT EN ANJOU","GEE","47.437367449999996,-0.20629125"
"49022","BEAULIEU SUR LAYON","49750","BEAULIEU SUR LAYON",,"47.31475645,-0.60369585"
"49023","BEAUPREAU EN MAUGES","49110","BEAUPREAU EN MAUGES","LE PIN EN MAUGES","47.202821400000005,-0.9844299999999999"
"49023","BEAUPREAU EN MAUGES","49450","BEAUPREAU EN MAUGES","VILLEDIEU LA BLOUERE","47.202821400000005,-0.9844299999999999"
